model,feature_name,feature_block,non_null_count,mean,std,min,max,unique_values,included_in_fold,standardized,coefficient
M3_BH_Geom,pass_at_8,B,12,0.35067933717436434,0.15240622741042598,0.13173439510684404,0.6176328898449661,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,pass_at_64,B,12,0.5182238528515539,0.16059929647095506,0.2772360384565834,0.8256887760636881,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,prompt_nll,B,12,2.1277948582181883,0.2615895816278515,1.5554302967668363,2.4358856235379513,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,heldout_loss,B,12,1.8531197754364592,0.23525471000927578,1.4520298323846361,2.20862629111971,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,sampled_coverage,B,12,0.3156114034569279,0.13716560466938338,0.11856095559615963,0.5558696008604695,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,token_entropy,B,12,1.6327428099037862,0.11526548318534793,1.4113434888473113,1.784,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,base_error_pass1,H,12,0.7909285123797325,0.1440818539816849,0.5141793610591391,0.98,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,failure_rate_pass64,H,12,0.48177614714844613,0.16059929647095508,0.17431122393631193,0.7227639615434166,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,ckpt_step_num,H,12,89.33333333333333,41.863534914714926,50.0,143.0,3,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,mean_abs_comp_dist,H,12,0.19999999999999998,0.04999999999999999,0.15000000000000002,0.25,2,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,frac_in_comp_band,H,12,0.20000000000000004,2.7755575615628914e-17,0.2,0.2,1,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,erank,I,12,18.57963444097229,1.3019661007723473,16.942298094286986,20.51812001428541,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M3_BH_Geom,srank,I,12,7.382524711716669,0.5062708686730968,6.245377185638211,7.9183969635258995,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,pass_at_1,B,12,0.20907148762026737,0.1440818539816849,0.02,0.4858206389408609,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,pass_at_8,B,12,0.35067933717436434,0.15240622741042598,0.13173439510684404,0.6176328898449661,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,pass_at_64,B,12,0.5182238528515539,0.16059929647095506,0.2772360384565834,0.8256887760636881,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,prompt_nll,B,12,2.1277948582181883,0.2615895816278515,1.5554302967668363,2.4358856235379513,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,heldout_loss,B,12,1.8531197754364592,0.23525471000927578,1.4520298323846361,2.20862629111971,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,sampled_coverage,B,12,0.3156114034569279,0.13716560466938338,0.11856095559615963,0.5558696008604695,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,token_entropy,B,12,1.6327428099037862,0.11526548318534793,1.4113434888473113,1.784,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,base_error_pass1,H,12,0.7909285123797325,0.1440818539816849,0.5141793610591391,0.98,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,failure_rate_pass64,H,12,0.48177614714844613,0.16059929647095508,0.17431122393631193,0.7227639615434166,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,ckpt_step_num,H,12,89.33333333333333,41.863534914714926,50.0,143.0,3,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,mean_abs_comp_dist,H,12,0.19999999999999998,0.04999999999999999,0.15000000000000002,0.25,2,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,frac_in_comp_band,H,12,0.20000000000000004,2.7755575615628914e-17,0.2,0.2,1,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,grad_norm,I,12,0.7090212487281926,0.07095981301575678,0.6106543126780377,0.8652824384460778,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,gns_proxy,I,12,0.22518182927058608,0.0181234412055056,0.19134842302358993,0.2562674625131008,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M4_BH_Grad,ln_ratio,I,12,1.1008486682953278,0.08293116434323372,0.8950631432869242,1.2044558242203365,12,LOMFO_STRICT,StandardScaler_In_Fold,0.0
M5_BH_All,pass_at_1,B,12,0.20907148762026737,0.1440818539816849,0.02,0.4858206389408609,11,LOMFO_STRICT,StandardScaler_In_Fold,0.0
