file_name,primary_sha256_actual,pilot_sha256_actual,sha256_equal,provenance_type,hash_algorithm,byte_length
config.json,c637747a6cd36216c8e09abe32202c8e3afd5ed8353e8c36cf12efcde4aaa4f9,c637747a6cd36216c8e09abe32202c8e3afd5ed8353e8c36cf12efcde4aaa4f9,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,RAW_BYTE_SHA256,709
model.safetensors.index.json,998a078123ffc97763690de7f2a677eb89168af5eaf8a5e12e6bc24d18e25bdb,998a078123ffc97763690de7f2a677eb89168af5eaf8a5e12e6bc24d18e25bdb,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,RAW_BYTE_SHA256,27752
model-00001-of-00004.safetensors,9dc670405455e2561ad0e560c120ab7133d52b619bb67cb6b6558e5be2e1072a,9dc670405455e2561ad0e560c120ab7133d52b619bb67cb6b6558e5be2e1072a,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,LFS_BYTE_SHA256,4877660672
model-00002-of-00004.safetensors,aa0164ca4322c80288e86ef8ee341bf000f672c5ea9411e171cb5f15817386c1,aa0164ca4322c80288e86ef8ee341bf000f672c5ea9411e171cb5f15817386c1,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,LFS_BYTE_SHA256,4932750888
model-00003-of-00004.safetensors,60740a232d3e5fb548804141c9e25884beb640ab43d969aa15e5e00c6a598776,60740a232d3e5fb548804141c9e25884beb640ab43d969aa15e5e00c6a598776,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,LFS_BYTE_SHA256,4330865088
model-00004-of-00004.safetensors,ad5f46ffbd19a829ccb9303fdce25784a81294c991a62d58b57611da49860873,ad5f46ffbd19a829ccb9303fdce25784a81294c991a62d58b57611da49860873,TRUE,SINGLE_CACHED_OBJECT_REFERENCED_BY_BOTH_RUNS,LFS_BYTE_SHA256,1089994880
